Name,Episodes,Released Year,Language,Rating,Ranking
Here We Meet Again,32,2023,Chinese,8.3,978
Doctor X Season 3,11,2014,Japanese,8.3,981
99.9: Keiji Senmon Bengoshi,10,2016,Japanese,8.3,983
Money Heist: Korea - Joint Economic Area - Part 1,6,2022,Korean,8.3,987
Ancient Detective,24,2020,Chinese,8.3,988
Influence,5,2021,Japanese,8.3,990
Kotaro wa Hitorigurashi,10,2021,Japanese,8.3,991
The Sound of Your Heart,20,2016,Korean,8.3,995
Liar Game,11,2007,Japanese,8.3,998
Bloody Monday Season 2,9,2010,Japanese,8.3,999
Oh My Ghost,16,2015,Korean,8.3,1000
Maou,11,2008,Japanese,8.3,1001
With You,20,2020,Chinese,8.3,1003
Memory,16,2016,Korean,8.3,1005
Graceful Family,16,2019,Korean,8.3,1011
Nagi no Oitoma,10,2019,Japanese,8.3,1013
Ping Pong Life,44,2021,Chinese,8.3,1014
Triage,13,2022,Thai,8.3,1018
Tree With Deep Roots,24,2011,Korean,8.3,1019
The Sound of Magic,6,2022,Korean,8.3,1022
Detective L,24,2019,Chinese,8.3,1023
Code Blue Season 2,11,2010,Japanese,8.3,1024
"My Love, Enlighten Me",24,2020,Chinese,8.3,1025
Bokura no Shokutaku,10,2023,Japanese,8.3,1026
"To Sir, With Love",17,2022,Thai,8.3,1027
They Kiss Again,20,2007,Taiwanese,8.3,1029
The Youth Memories,38,2023,Chinese,8.3,1032
Strange Tales of Tang Dynasty,36,2022,Chinese,8.3,1033
"Ore no Sukato, Doko Itta?",10,2019,Japanese,8.3,1044
The Sword and the Brocade,45,2021,Chinese,8.3,1045
Home School,18,2023,Thai,8.3,1047
My Secret Bride,18,2019,Thai,8.3,1050
S.C.I,24,2018,Chinese,8.3,1052
Again My Life,16,2022,Korean,8.3,1053
"Ashita, Mama ga Inai",9,2014,Japanese,8.3,1057
My Unicorn Girl,24,2020,Chinese,8.3,1058
The Guardians,32,2017,Korean,8.3,1059
Suspicious Partner,40,2017,Korean,8.3,1060
Kikazaru Koi ni wa Riyuu ga Atte,10,2021,Japanese,8.3,1061
Missing Noir M,10,2015,Korean,8.3,1062
Love Playlist Season 4,16,2019,Korean,8.3,1064
Kamen Rider OOO,48,2010,Japanese,8.3,1065
Saiai,10,2021,Japanese,8.3,1066
Gannibal,7,2022,Japanese,8.3,1067
The King's Affection,20,2021,Korean,8.3,1069
Special Affairs Team TEN,9,2011,Korean,8.3,1071
Terius Behind Me,32,2018,Korean,8.3,1075
The Legend of Zhuohua,40,2023,Chinese,8.3,1076
Novoland: Pearl Eclipse,48,2021,Chinese,8.3,1080
Ode to Joy,42,2016,Chinese,8.3,1082
The Eclipse,12,2022,Thai,8.3,1083
Leverage,16,2019,Korean,8.3,1084
Tokyo MER: Hashiru Kinkyuukyuumeishitsu,11,2021,Japanese,8.3,1087
Shinya Shokudo 2,10,2011,Japanese,8.3,1090
