Name,Episodes,Released Year,Language,Rating,Ranking
Secret Campus,24,2006,Korean,7.3,6818
Gen Y,12,2020,Thai,7.3,6819
30 Kin Sore wa 30-sai Miman Okotowari no Koi,8,2020,Japanese,7.3,6820
The Witch Store,12,2019,Korean,7.3,6821
Stranger Kim,6,2019,Korean,7.3,6823
The Road: The Tragedy of One,12,2021,Korean,7.3,6825
Was It Love?,16,2020,Korean,7.3,6826
Bargain,6,2022,Korean,7.3,6829
Ojiichan wa 25 Sai,8,2010,Japanese,7.3,6830
Bangkok Love Stories: Objects of Affection,13,2019,Thai,7.3,6833
Dear Liar,27,2023,Chinese,7.3,6836
Ruk Nee Jae Jad Hai,13,2014,Thai,7.3,6839
Oshi no Oujisama,11,2021,Japanese,7.3,6840
Water Boys,11,2003,Japanese,7.3,6841
All Out of Love,70,2018,Chinese,7.3,6842
L.U.C.A.: The Beginning,12,2021,Korean,7.3,6843
Gangnam Scandal,123,2018,Korean,7.3,6844
Season Love,50,2017,Chinese,7.3,6845
Miracle of Love,17,2022,Thai,7.3,6846
SHARK Season 2,12,2014,Japanese,7.3,6847
Slow Dance,11,2005,Japanese,7.3,6848
Mia Jum Pen,15,2021,Thai,7.3,6850
Pretty Guardian Sailor Moon,49,2003,Japanese,7.3,6851
The World That They Live In,16,2008,Korean,7.3,6853
Detective Husband I've Never Met,28,2022,Chinese,7.3,6854
My Kung Fu Girlfriend Season 2,24,2022,Chinese,7.3,6857
Majisuka Gakuen 2,12,2011,Japanese,7.3,6858
"Mom, Don't Do That!",11,2022,Taiwanese,7.3,6859
Happy Home,51,2016,Korean,7.3,6860
Rak Rai,40,2017,Thai,7.3,6863
Love's Relativity,33,2014,Chinese,7.3,6864
Himitsu no Kankei - Sensei wa Doukyonin,13,2011,Japanese,7.3,6865
Beauties of the Emperor,32,2012,Chinese,7.3,6866
A Love to Kill,16,2005,Korean,7.3,6867
Mom Has an Affair,122,2020,Korean,7.3,6868
Ring Ring Bell,15,2011,Taiwanese,7.3,6869
The Witch Store Reopens,10,2022,Korean,7.3,6871
"Kanojo, Okarishimasu",10,2022,Japanese,7.3,6873
Dating Agency: Cyrano,16,2013,Korean,7.3,6874
Kularb Rai Kong Naai Tawan,15,2014,Thai,7.3,6875
"Let's Date, Professor Xie",24,2023,Chinese,7.3,6876
Vampire Idol,79,2011,Korean,7.3,6878
"I  Do, I Do",16,2012,Korean,7.3,6880
Shokuzai,5,2012,Japanese,7.3,6882
I Really Really Like You,34,2006,Korean,7.3,6883
Twilight,40,2023,Chinese,7.3,6887
Friends,4,2002,Japanese,7.3,6889
Master's Delicacies,6,2022,Korean,7.3,6892
More Than Friends,16,2020,Korean,7.3,6893
My Lover Is a Mystery,12,2021,Chinese,7.3,6894
Level Up,12,2019,Korean,7.3,6896
Immortal Classic,20,2012,Korean,7.3,6897
Touch,16,2020,Korean,7.3,6902
My MVP Valentine,18,2002,Taiwanese,7.3,6905
Prime Minister and I,17,2013,Korean,7.3,6908
Befriend,24,2018,Taiwanese,7.3,6910
Hua Jai Look Poochai,15,2019,Thai,7.3,6911
Hero,16,2009,Korean,7.3,6913
Ma Boy,3,2012,Korean,7.3,6915
Assorted Gems,50,2009,Korean,7.3,6917
Hero,9,2012,Korean,7.3,6918
"What's Up, Fox?",16,2006,Korean,7.3,6920
Knock on the Happiness Door,44,2020,Chinese,7.3,6923
Miss Captain,24,2022,Chinese,7.3,6928
Dream Knight,12,2015,Korean,7.3,6929
My Love By My Side,50,2011,Korean,7.3,6930
Sweet Sweet Bodyguard,82,2012,Taiwanese,7.3,6931
Yankee Bokou ni Kaeru,10,2003,Japanese,7.3,6932
Wonderful Mama,48,2013,Korean,7.3,6933
"Fight Hard, Love Harder Season 2",4,2020,Korean,7.3,6935
Warm Time With You,31,2022,Chinese,7.3,6936
Fuyu no Sakura,9,2011,Japanese,7.3,6937
Best Time,47,2013,Chinese,7.3,6938
Rumor,8,2019,Korean,7.3,6941
Fox in the Screen,22,2016,Chinese,7.3,6944
Vengeance of the Bride,102,2022,Korean,7.3,6946
Kularb Rai Glai Ruk,11,2011,Thai,7.3,6947
Misaki Number One!!,10,2011,Japanese,7.3,6948
You Are The Only One,120,2014,Korean,7.3,6949
My Honey,24,2022,Chinese,7.3,6952
My Dearest Boss,30,2022,Chinese,7.3,6953
Aim the Heart! Archeress,18,2022,Chinese,7.3,6957
Big Dragon,8,2022,Thai,7.3,6959
The Yearbook,8,2021,Thai,7.3,6961
Senior Secret Love: My Lil Boy,6,2016,Thai,7.3,6963
Skip a Beat,20,2023,Chinese,7.3,6965
The Only You,22,2021,Chinese,7.3,6966
Office Watch,8,2017,Korean,7.3,6967
Freshman,12,2019,Korean,7.3,6968
Attack No.1,11,2005,Japanese,7.3,6969
Hapimari: Happy Marriage!?,12,2016,Japanese,7.3,6970
My Absolute Boyfriend,40,2019,Korean,7.3,6971
Taste of Love,15,2015,Taiwanese,7.3,6972
Her Bucket List,10,2021,Korean,7.3,6973
Item,32,2019,Korean,7.3,6975
Godhand Teru,6,2009,Japanese,7.3,6976
UMG,12,2023,Thai,7.3,6977
Kekkon Dekinai ni wa Wake ga Aru,10,2021,Japanese,7.3,6978
The Man of My Life,6,2020,Korean,7.3,6979
Twinkle Twinkle,54,2011,Korean,7.3,6984
People You May Know,10,2017,Korean,7.3,6985
Janus no Kagami,8,2019,Japanese,7.3,6987
Ani ni Aisaresugite Komattemasu,5,2017,Japanese,7.3,6989
Circle of Love,24,2023,Chinese,7.3,6991
Majisuka Gakuen 5,12,2015,Japanese,7.3,6992
Gisou Furin,10,2019,Japanese,7.3,6993
Diamond Lover,68,2015,Chinese,7.3,6994
"Do You ""Truth or Dare"" with Me?",2,2019,Korean,7.3,6996
Are You Ready? Hey You Girl!,5,2018,Japanese,7.3,6999
The Man's Voice,8,2021,Korean,7.3,7000
Madame Antoine,16,2016,Korean,7.3,7001
No Going Back Romance,10,2020,Korean,7.3,7002
Can Love Become Money,20,2012,Korean,7.3,7006
Kamen Rider Hibiki,48,2005,Japanese,7.3,7007
My Secret Hotel,16,2014,Korean,7.3,7009
Café Kilimanjaro,10,2020,Korean,7.3,7011
Childhood Sweethearts Pianist,28,2019,Chinese,7.3,7012
Second Chance,6,2021,Thai,7.3,7013
"Cheer Up, Mr. Kim!",124,2012,Korean,7.3,7014
Lawyers of Korea,16,2008,Korean,7.3,7015
Lost Promise,26,2021,Chinese,7.3,7016
Little Mad Doctor,26,2023,Chinese,7.3,7017
Miss Korea,20,2013,Korean,7.3,7018
Kaew Lorm Petch,24,2008,Thai,7.3,7019
Asunaro Hakusho,11,1993,Japanese,7.3,7022
Endless Love,15,2010,Taiwanese,7.3,7026
One and Another Him,24,2018,Chinese,7.3,7029
Tsubasa no Oreta Tenshitachi,4,2006,Japanese,7.3,7030
Real Clothes,11,2009,Japanese,7.3,7031
Flower of the Queen,50,2015,Korean,7.3,7032
Pure Melo District,4,2020,Korean,7.3,7033
Remember 15,12,2022,Thai,7.3,7036
The Shoufu Can Read Mind,20,2023,Chinese,7.3,7040
Khun Samee Karmalor Tee Rak,14,2012,Thai,7.3,7041
Call It What You Want Season 2,6,2021,Thai,7.3,7042
Fak Fah Kiri Dao,16,2020,Thai,7.3,7043
Rich Man,16,2018,Korean,7.3,7044
Watashi ga Kemono ni Natta Yoru 3,4,2022,Japanese,7.3,7045
Little Mom Scandal,8,2008,Korean,7.3,7048
Liar,8,2022,Japanese,7.3,7050
Irresistible,22,2021,Thai,7.3,7051
Hot Shot,16,2008,Taiwanese,7.3,7052
We Broke Up,10,2015,Korean,7.3,7058
I Fell in Love by Accident,12,2020,Chinese,7.3,7062
Jinxed at First,16,2022,Korean,7.3,7063
Love of Aurora,59,2017,Chinese,7.3,7064
Smoking Gun - Ketteiteki Shoko,11,2014,Japanese,7.3,7067
My Sassy Deskmate,12,2020,Chinese,7.3,7071
One Well-Raised Daughter,122,2013,Korean,7.3,7072
"Nezumi, Edo wo Hashiru",9,2014,Japanese,7.3,7078
"Que Sera, Sera",17,2007,Korean,7.3,7080
Yes! Mr. Fashion,28,2016,Chinese,7.3,7081
Gold Mask,100,2022,Korean,7.3,7082
Romance Beyond Romance,23,2023,Chinese,7.3,7085
She,5,2015,Japanese,7.3,7091
Mia Taeng,14,2011,Thai,7.3,7092
Soumatou Kabushikigaisha,10,2012,Japanese,7.3,7093
In Time With You,24,2020,Thai,7.3,7094
Women of the Sun,20,2008,Korean,7.3,7096
Between,18,2018,Taiwanese,7.3,7100
Kokdu: Season of Deity,16,2023,Korean,7.3,7101
Goddess of Fire,32,2013,Korean,7.3,7104
Investiture of the Gods,65,2019,Chinese,7.3,7105
Kimi to Sekai ga Owaru Hi ni Season 2,6,2021,Japanese,7.3,7108
Moteki,12,2010,Japanese,7.3,7110
The Man from the Future,10,2017,Taiwanese,7.3,7111
100% Senorita,39,2003,Taiwanese,7.3,7112
Matching! Boys Archery,8,2016,Korean,7.3,7113
Let's Go Fighting,30,2022,Chinese,7.3,7114
Reset,10,2014,Korean,7.3,7115
Beautiful Secret,39,2015,Chinese,7.3,7116
Dont Forget My Love,24,2022,Chinese,7.3,7117
Roy Marn,15,2011,Thai,7.3,7118
Love Story in Harvard,16,2004,Korean,7.3,7119
Chijo no Kiss,10,2021,Japanese,7.3,7120
"I Hate You, Juliet!",18,2019,Korean,7.3,7124
Love Once Again,18,2021,Chinese,7.3,7129
Green Rose,22,2005,Korean,7.3,7132
Stand Up!!,11,2003,Japanese,7.3,7133
The King of the Desert,6,2022,Korean,7.3,7135
A Man Called God,24,2010,Korean,7.3,7136
The Fire Series 2: Talay Fai,16,2016,Thai,7.3,7137
The Girl Who Sees Smells,24,2023,Chinese,7.3,7138
Dr. Champ,16,2010,Korean,7.3,7141
Love Alarm,8,2019,Korean,7.3,7142
Takane to Hana,8,2019,Japanese,7.3,7143
Be Together,35,2021,Chinese,7.3,7144
The Cage of Love,34,2015,Chinese,7.3,7145
Jigoku Sensei Nube,10,2014,Japanese,7.3,7150
Longing for Spring,4,2014,Korean,7.3,7154
Forever Love,29,2022,Chinese,7.3,7157
Shiritsu Bakaleya Koukou,12,2012,Japanese,7.3,7158
Strangers Again,12,2023,Korean,7.3,7160
Oops! Mr. Superstar Hit on Me,12,2022,Thai,7.3,7162
First Sword of Wudang,39,2021,Chinese,7.3,7165
You Are My Make Up Artist,16,2022,Thai,7.3,7166
Operation Proposal,16,2012,Korean,7.3,7168
Hi wa Mata Noboru,9,2011,Japanese,7.3,7170
Monster,50,2016,Korean,7.3,7171
Who Stole My Kiss,24,2022,Chinese,7.3,7174
Tang Parn Kammathep,15,2001,Thai,7.3,7175
Golden Cross,20,2014,Korean,7.3,7177
Borg Mom,22,2017,Korean,7.3,7179
The Eccentric Daughter-in-Law,12,2015,Korean,7.3,7180
Angel's Revenge,103,2014,Korean,7.3,7183
Garasu no Ie,9,2013,Japanese,7.3,7187
Yaksha,12,2010,Korean,7.3,7189
Trap,12,2020,Korean,7.3,7190
Nine Kilometers of Love,24,2019,Chinese,7.3,7191
"Sweet, Savage Family",16,2015,Korean,7.3,7192
Summer Rescue,10,2012,Japanese,7.3,7193
President,20,2010,Korean,7.3,7194
Attention Please,11,2006,Japanese,7.3,7195
High Society,16,2015,Korean,7.3,7198
I Need Romance,16,2011,Korean,7.3,7201
Possessed,16,2019,Korean,7.3,7203
Summer Scent,20,2003,Korean,7.3,7204
Unruly Qiao,38,2011,Chinese,7.3,7205
Aino Kekkon Soudanjo,6,2017,Japanese,7.3,7206
Phoenix,26,2004,Korean,7.3,7208
The Duo,32,2011,Korean,7.3,7209
Real School,40,2011,Korean,7.3,7211
Dokushin Kizoku,11,2013,Japanese,7.3,7212
Boku to Star no 99 Nichi,10,2011,Japanese,7.3,7213
Himitsu,9,2010,Japanese,7.3,7215
I Order You,16,2015,Korean,7.3,7219
The Wife's Secret,55,2014,Chinese,7.3,7221
Princess! You have Five Husbands!,39,2021,Chinese,7.3,7222
My Villain Husband,24,2022,Chinese,7.3,7224
Fondant Garden,16,2012,Taiwanese,7.3,7225
Barairo no Seisen,6,2011,Japanese,7.3,7226
A Man in a Veil,105,2020,Korean,7.3,7228
Rainbow Lagoon,2,2022,Thai,7.3,7229
Clone Baby,11,2010,Japanese,7.3,7232
Miss Lee,16,2019,Korean,7.3,7236
Watashi ga Kemono ni Natta Yoru 2,6,2021,Japanese,7.3,7237
Mairunovich,8,2021,Japanese,7.3,7238
Rosy Lovers,52,2014,Korean,7.3,7240
The Forbidden Woman,22,2022,Chinese,7.3,7243
Easy Fortune Happy Life,17,2009,Taiwanese,7.3,7245
Nang Rai,15,2019,Thai,7.2,7250
The Great Seer,35,2012,Korean,7.2,7251
Monstar,12,2013,Korean,7.2,7252
Snow Lover,24,2021,Chinese,7.2,7254
Enchanté,10,2022,Thai,7.2,7255
Playful Kiss,16,2010,Korean,7.2,7257
Ex-Wife Stop,25,2022,Chinese,7.2,7259
Love Rerun,10,2018,Japanese,7.2,7260
Brother Trap,9,2023,Japanese,7.2,7262
Best Chicken,12,2019,Korean,7.2,7264
"Bokura ga Koroshita, Saiai no Kimi",6,2021,Japanese,7.2,7265
Pathapee Leh Ruk,7,2010,Thai,7.2,7266
Queen of the Game,20,2006,Korean,7.2,7267
"Persevere, Goo Hae Ra",12,2015,Korean,7.2,7268
Lovey Dovey,20,2016,Thai,7.2,7272
Athena: Goddess of War,20,2010,Korean,7.2,7273
A Life Time Love,54,2017,Chinese,7.2,7274
Watashi no Kirai na Tantei,8,2014,Japanese,7.2,7275
Queen of Housewives,20,2009,Korean,7.2,7276
Hip Hop Teacher,10,2017,Korean,7.2,7277
Fighting Girl,24,2022,Chinese,7.2,7279
Siew Sum Noi,12,2021,Thai,7.2,7280
La Ong Dao,15,2017,Thai,7.2,7281
When Time Stopped,12,2018,Korean,7.2,7284
Club Friday Season 8: True Love�or Confusion,4,2017,Thai,7.2,7285
Gloomy Salad Days,20,2010,Taiwanese,7.2,7286
In the Day We Flipped,24,2022,Chinese,7.2,7287
Watashi no Tadashi Oniichan,8,2021,Japanese,7.2,7288
If Paris Downcast,48,2018,Chinese,7.2,7290
Lonely Enough to Love,10,2020,Korean,7.2,7291
Love Revolution,12,2001,Japanese,7.2,7292
Wonderful Time,40,2021,Chinese,7.2,7294
If in Love Like Them,4,2007,Korean,7.2,7295
Les Interprètes,45,2016,Chinese,7.2,7297
Senior Secret Love: My Lil Boy 2,8,2016,Thai,7.2,7298
Papadol!,10,2012,Japanese,7.2,7301
Born Again,32,2020,Korean,7.2,7302
Left-Handed Wife,103,2019,Korean,7.2,7304
Marumaru Tsuma,10,2015,Japanese,7.2,7308
Baker Boys,12,2021,Thai,7.2,7313
Best Mistake Season 3,16,2021,Korean,7.2,7314
Friend Zone,12,2018,Thai,7.2,7315
Wind-Bell,10,2019,Korean,7.2,7316
The School Nurse Files,6,2020,Korean,7.2,7317
Kiss  Kiss  Kiss ~ Melting Night ~,10,2022,Japanese,7.2,7319
Miss Rose,23,2012,Taiwanese,7.2,7322
Vacation,4,2006,Korean,7.2,7324
The Man Ripped From the Sky,20,2021,Chinese,7.2,7325
Juunen Saki mo Kimi ni Koishite,6,2010,Japanese,7.2,7326
Good Time,38,2015,Chinese,7.2,7328
Seijo,7,2014,Japanese,7.2,7329
Mikeneko Holmes no Suiri,11,2012,Japanese,7.2,7331
Watashi ga Kemono ni Natta Yoru,4,2021,Japanese,7.2,7333
Fiancee,20,2013,Chinese,7.2,7335
Love Syndrome III: Uncut Version,12,2023,Thai,7.2,7338
Surplus Princess,10,2014,Korean,7.2,7341
Bunshin,5,2012,Japanese,7.2,7342
I Won't Get Bullied By Girls,24,2018,Chinese,7.2,7344
Takane no Hana-san,12,2021,Japanese,7.2,7345
Rikon Shiyou Yo,9,2023,Japanese,7.2,7346
Dekichatta Kekkon,11,2001,Japanese,7.2,7349
Second Love,7,2015,Japanese,7.2,7350
Long-Distance Relationship,34,2017,Chinese,7.2,7352
Song Sanaeha,18,2021,Thai,7.2,7353
A Good Day for the Wind to Blow,173,2010,Korean,7.2,7354
Death Cash,10,2016,Japanese,7.2,7355
Country Boy,2,2021,Thai,7.2,7357
Taisetsu na Koto wa Subete Kimi ga Oshiete Kureta,10,2011,Japanese,7.2,7360
Love at First Taste,26,2022,Chinese,7.2,7361
Yan Zhi's Romantic Story,20,2022,Chinese,7.2,7363
Club Sapan Fine Season 2,8,2022,Thai,7.2,7364
Tree in the River,20,2018,Taiwanese,7.2,7365
Devil Inspector,9,2017,Korean,7.2,7366
"Marry Me, My Queen",24,2023,Chinese,7.2,7368
The Journey of Flower 2015,32,2015,Chinese,7.2,7369
Bull Fighting,17,2007,Taiwanese,7.2,7372
Tawan Tor Saeng,15,2012,Thai,7.2,7373
Singles Villa,24,2015,Chinese,7.2,7374
Girl Next Room: Motorbike Baby,6,2020,Thai,7.2,7375
Bubblegum,16,2015,Korean,7.2,7376
Young Lady and Gentleman,52,2021,Korean,7.2,7381
Love Yunge From the Desert,45,2015,Chinese,7.2,7383
Pan Ruk Pan Rai,15,2013,Thai,7.2,7386
The Prince Who Turns into a Frog,26,2021,Thai,7.2,7387
Arifureta Kiseki,11,2009,Japanese,7.2,7390
Syndrome,20,2012,Korean,7.2,7393
Jigoku Shoujo,12,2006,Japanese,7.2,7395
Crow's Blood,6,2016,Japanese,7.2,7396
The Next Stop W,24,2023,Chinese,7.2,7397
Irreplaceable Love,44,2020,Chinese,7.2,7400
Buang Ruk Satan,10,2018,Thai,7.2,7401
Scrap Teacher,9,2008,Japanese,7.2,7402
Flipped,24,2018,Chinese,7.2,7403
Aoki Vuanpaia no Nayami,8,2021,Japanese,7.2,7404
609 Bedtime Story,11,2022,Thai,7.2,7406
Kiss Me Again,14,2018,Thai,7.2,7407
Romance,16,2002,Korean,7.2,7408
Step by Step,12,2023,Thai,7.2,7409
My Coach,16,2022,Thai,7.2,7410
Kou Kou Kyoushi 2003,11,2003,Japanese,7.2,7411
Women Walk the Line,36,2022,Chinese,7.2,7414
Love Is Fate,42,2019,Chinese,7.2,7417
Long Time No See,42,2018,Chinese,7.2,7418
"Hello, God",16,2006,Korean,7.2,7419
Ex-Wife Stop Season 2,24,2023,Chinese,7.2,7422
Nusumareta Kao: Miatari Sosahan,5,2019,Japanese,7.2,7427
"Tsumari Suki tte iitai n Dakedo,",12,2021,Japanese,7.2,7429
Demon Emperor's Little Matchmaker,30,2022,Chinese,7.2,7431
Toshi Densetsu no Onna,9,2012,Japanese,7.2,7435
The Crush,12,2020,Chinese,7.2,7436
Meitantei no Okite,10,2009,Japanese,7.2,7437
Long For You,20,2017,Chinese,7.2,7438
ROMES,9,2009,Japanese,7.2,7439
Spy,16,2015,Korean,7.2,7443
Ms. Kim's Million Dollar Quest,16,2004,Korean,7.2,7445
Alchemist,12,2015,Korean,7.2,7446
HIStory5: Love in the Future,20,2022,Taiwanese,7.2,7447
Big Man,16,2014,Korean,7.2,7448
Don't Be Shy,12,2022,Chinese,7.2,7451
Check Out the Event,4,2021,Korean,7.2,7452
Nazo no Tenkousei,12,2014,Japanese,7.2,7457
She Knows Everything,4,2020,Korean,7.2,7458
Super Star Academy,30,2016,Chinese,7.2,7461
Soul,10,2009,Korean,7.2,7463
Husband in Disguise,24,2022,Thai,7.2,7464
Mysterious Personal Shopper,103,2018,Korean,7.2,7466
Naka nai to Kimeta Hi,8,2010,Japanese,7.2,7467
You Are My Destiny,178,2008,Korean,7.2,7468
Bangkok Love Stories 2: Innocence,13,2018,Thai,7.2,7470
Man in the Kitchen,50,2017,Korean,7.2,7471
Tatakau! Shoten Girl,9,2015,Japanese,7.2,7472
Remember Me,14,2022,Thai,7.2,7474
Hello Mr. Right,24,2016,Chinese,7.2,7476
Minami-kun no Koibito,11,2004,Japanese,7.2,7479
Love Teenager,8,2020,Korean,7.2,7482
Who Are You?,17,2008,Korean,7.2,7483
As Long as You Love Me,46,2020,Chinese,7.2,7484
Romance Blue,6,2015,Korean,7.2,7485
Mimi,4,2014,Korean,7.2,7486
The Effect,3,2019,Thai,7.2,7490
The Player,20,2021,Chinese,7.2,7491
Lobbyist,24,2007,Korean,7.2,7492
Love You Self-Evident,20,2023,Chinese,7.2,7494
Partner,16,2009,Korean,7.2,7495
Phantom School,8,2022,Korean,7.2,7498
Motokare Mania,9,2019,Japanese,7.2,7499
Ngao Hua Jai,16,2010,Thai,7.2,7500
Thorn Birds,20,2011,Korean,7.2,7501
Please Love Me,24,2022,Chinese,7.2,7502
Ying Ye 3+1,16,2007,Taiwanese,7.2,7503
Wish To See You Again,16,2008,Taiwanese,7.2,7506
Star's Lover,20,2008,Korean,7.2,7507
Happy Together,15,2015,Taiwanese,7.2,7510
Love and Secret,102,2014,Korean,7.2,7511
Ngao Kammathep,17,2010,Thai,7.2,7512
Around 40,11,2008,Japanese,7.2,7513
Temptation of an Angel,21,2009,Korean,7.2,7514
Strawberry on the Shortcake,10,2001,Japanese,7.2,7515
An Eye for an Eye,18,2021,Thai,7.2,7518
Love After School Season 2,7,2018,Korean,7.2,7519
Robber,16,2008,Korean,7.2,7521
Secret Angel,10,2012,Chinese,7.2,7522
Nitiman,10,2021,Thai,7.2,7524
Night Watchman's Journal,24,2014,Korean,7.2,7526
Alice in Wonder City,15,2012,Taiwanese,7.2,7529
Swing to the Sky,18,2020,Chinese,7.2,7530
Starman - This Star's Love,10,2013,Japanese,7.2,7532
"Tamra, the Island",16,2009,Korean,7.2,7533
Love Stage!!,10,2022,Thai,7.2,7535
Say that You Love Me,32,2012,Chinese,7.2,7538
Shinigami no Ballad,12,2007,Japanese,7.2,7540
"Legally, Dad",6,2020,Korean,7.2,7541
Junai Dissonance,11,2022,Japanese,7.2,7542
The Empire,16,2022,Korean,7.2,7543
Boku wa Mari no Naka,8,2017,Japanese,7.2,7544
Dying Eye,6,2019,Japanese,7.2,7547
Burning Jealousy,16,2019,Thai,7.2,7548
Fashion 70's,28,2005,Korean,7.2,7550
My Wonderful Roommate,8,2020,Korean,7.2,7551
Wiwa Wah Woon,15,2010,Thai,7.2,7552
Repeat,10,2018,Japanese,7.2,7554
First Love Again,6,2022,Korean,7.2,7555
Pink Lipstick,149,2010,Korean,7.2,7556
Innocent Lies,17,2022,Thai,7.2,7557
Stupid Cupid,12,2015,Thai,7.2,7560
Love Class,6,2022,Korean,7.2,7561
Mermaid Prince,24,2020,Chinese,7.2,7562
Hyena,16,2006,Korean,7.2,7563
Q.E.D.,10,2009,Japanese,7.2,7564
Oum Ruk,14,2006,Thai,7.2,7565
Ito-kun A to E,8,2017,Japanese,7.2,7570
Saru Lock,13,2009,Japanese,7.2,7571
"MARS - Tada, Kimi wo Aishiteru",10,2016,Japanese,7.2,7578
My 20th Twenty,12,2023,Korean,7.2,7579
Hana ni Keda Mono Season 2,5,2019,Japanese,7.2,7581
Iki mo Dekinai Natsu,11,2012,Japanese,7.2,7582
Meet by Window,36,2021,Chinese,7.2,7584
Sweet Temptation,6,2015,Korean,7.2,7588
Standing in the Time,38,2019,Chinese,7.2,7589
Ghost Friends,10,2009,Japanese,7.2,7590
Game Payabaht,18,2017,Thai,7.2,7591
Roy Leh Sanae Rai,14,2015,Thai,7.2,7592
Next Door Witch J,12,2021,Korean,7.2,7593
All the Liquors,8,2023,Korean,7.2,7594
Someday,16,2006,Korean,7.2,7595
"Senpai, Danjite Koidewa!",8,2022,Japanese,7.2,7597
Tinted With You,8,2021,Korean,7.2,7602
Sweet Relationship,20,2007,Taiwanese,7.2,7603
Star-Crossed Lovers,24,2022,Chinese,7.2,7605
The Ambiguous Focus,6,2018,Chinese,7.2,7606
Afterlife of Love and Revenge,24,2022,Chinese,7.2,7607
Rascal Sons,50,2012,Korean,7.2,7608
One Warm Word,20,2013,Korean,7.2,7609
Guilty: Kono Koi wa Tsumi Desuka,10,2020,Japanese,7.2,7610
Local Hero,16,2016,Korean,7.2,7612
Sweet Spy,20,2005,Korean,7.2,7613
Clocking Out,4,2016,Korean,7.2,7614
Dear Uranus,3,2021,Taiwanese,7.2,7615
U-Prince:  The Handsome Cowboy,8,2016,Thai,7.2,7616
Haru ga Kita,5,2018,Japanese,7.2,7619
Love You to Another Star,30,2021,Chinese,7.2,7623
Who's the One,13,2011,Taiwanese,7.2,7624
"Seisei Suruhodo, Aishiteru",10,2016,Japanese,7.2,7626
Myung Wol the Spy,18,2011,Korean,7.2,7628
Shuriken Sentai Ninninger,47,2015,Japanese,7.2,7629
Risou no Kareshi,8,2022,Japanese,7.2,7630
The Moment Since,5,2020,Thai,7.2,7639
Dung Sawan Sarb,14,2015,Thai,7.2,7640
Beloved Enemy,15,2017,Chinese,7.2,7642
Save the Family,123,2015,Korean,7.2,7643
xxxHolic,8,2013,Japanese,7.2,7644
Hana Kimi Remake,11,2011,Japanese,7.2,7645
Princess Pearl Season 3: Heaven on Earth,40,2002,Chinese,7.2,7646
Falling in Love,12,2021,Chinese,7.2,7647
Watashi no Shite Kurenai Pheromone Kareshi,9,2022,Japanese,7.2,7648
The Novelist,6,2018,Japanese,7.2,7649
Ai Long Nhai,12,2022,Thai,7.2,7651
Dangerous Love,25,2022,Chinese,7.2,7654
What Zabb Man!,8,2022,Thai,7.2,7655
Leh Ratree,12,2004,Thai,7.2,7657
Himitsu no Hanazono,11,2007,Japanese,7.2,7658
"Let's Eat Something, Anna",5,2017,Korean,7.2,7659
The Merchant: Gaekju 2015,41,2015,Korean,7.2,7660
Sensei ni Koishita Natsu,8,2016,Japanese,7.2,7661
Monchouchou Globalhouse,12,2019,Korean,7.2,7662
Artificial City,20,2021,Korean,7.2,7664
Super Rich,11,2021,Japanese,7.2,7665
Nanase Futatabi,10,2008,Japanese,7.2,7666
Youth Should Be Early,47,2021,Chinese,7.2,7668
ReminderS,3,2019,Thai,7.2,7670
Running Gu,4,2010,Korean,7.2,7671
Shining Like You,24,2021,Chinese,7.2,7672
The Rose,24,2003,Taiwanese,7.2,7675
Inspiring Generation,24,2014,Korean,7.2,7676
A Hundred Year's Inheritance,50,2013,Korean,7.2,7677
Invisible Life,42,2020,Chinese,7.2,7678
Taiyou no Kisetsu,11,2002,Japanese,7.2,7681
Mr. Back,16,2014,Korean,7.2,7682
Diamond Lover (Special Cut),24,2017,Chinese,7.2,7683
Mafia Tee Ruk,15,2007,Thai,7.2,7684
Glamorous Temptation,50,2015,Korean,7.2,7686
Sai Tarn Hua Jai,11,2017,Thai,7.2,7688
Endless Love,37,2014,Korean,7.2,7691
YG Future Strategy Office,8,2018,Korean,7.2,7692
My Runway,6,2016,Korean,7.2,7694
First Love It's You,24,2021,Chinese,7.2,7695
Money's Warfare,20,2007,Korean,7.2,7697
Shokojo Seira,10,2009,Japanese,7.2,7698
To Dear Myself,48,2020,Chinese,7.2,7699
Ohitorisama,10,2009,Japanese,7.2,7700
My Fair Lady,16,2009,Korean,7.2,7703
Wild Chives and Soy Bean Soup: 12 Years Reunion,26,2014,Korean,7.2,7705
Oishii Proposal,10,2006,Japanese,7.2,7706
The Man Who Can't Get Married,16,2009,Korean,7.2,7708
Wong Wien Hua Jai,16,2009,Thai,7.2,7710
Spring Day,20,2005,Korean,7.2,7712
The Moment,4,2020,Thai,7.2,7715
Best Lover,16,2016,Chinese,7.2,7718
Kingyo Tsuma,8,2022,Japanese,7.2,7721
Innocent Love,10,2008,Japanese,7.2,7722
Mr. Goodbye,16,2006,Korean,7.2,7723
Kurofuku Monogatari,8,2014,Japanese,7.2,7726
Kono Koi wa Tsumi na no ka!?,4,2018,Japanese,7.2,7728
Just Spoil You,20,2023,Chinese,7.2,7730
When Love Walked In,32,2012,Taiwanese,7.2,7731
Oh! My Dream Daddy Season 2,30,2020,Chinese,7.2,7733
Cheongdamdong Alice,16,2012,Korean,7.2,7734
